Pop Fizz - Giants Punch,1.99,5.99,33711,https://www.pricecharting.com/game/skylanders/pop-fizz-giants-punch,0 
Pop Fizz - SuperChargers Big Bubble,.99,3.99,36341,https://www.pricecharting.com/game/skylanders/pop-fizz-superchargers-big-bubble,0 
Pop Fizz - Swap Force Super Gulp,1.99,5.99,34368,https://www.pricecharting.com/game/skylanders/pop-fizz-swap-force-super-gulp,0 
Pop Fizz - Trap Team Fizzy Frenzy,1.99,8.99,35520,https://www.pricecharting.com/game/skylanders/pop-fizz-trap-team-fizzy-frenzy,0 
Pop Fizz - Trap Team Love Potion,2.99,4.99,35534,https://www.pricecharting.com/game/skylanders/pop-fizz-trap-team-love-potion,0 
Pop Thorn - Swap Force,3.99,14.99,34369,https://www.pricecharting.com/game/skylanders/pop-thorn-swap-force,0 
Prism Break,3.99,9.99,33712,https://www.pricecharting.com/game/skylanders/prism-break,0 
Prism Break - Giants Employee Holiday 2012 Lightcore,144.99,144.99,33715,https://www.pricecharting.com/game/skylanders/prism-break-giants-employee-holiday-2012-lightcore,0 
Prism Break - Giants Lightcore,.99,6.99,33713,https://www.pricecharting.com/game/skylanders/prism-break-giants-lightcore,0 
Prism Break - Giants Series 2,1.99,8.99,33714,https://www.pricecharting.com/game/skylanders/prism-break-giants-series-2,0 
Prism Break - Giants White Flocked,74.99,99.99,33805,https://www.pricecharting.com/game/skylanders/prism-break-giants-white-flocked,0 
Prism Break - Swap Force Hyper Beam,1.99,7.99,34370,https://www.pricecharting.com/game/skylanders/prism-break-swap-force-hyper-beam,0 
Punk Shock - Swap Force,4.99,4.99,34371,https://www.pricecharting.com/game/skylanders/punk-shock-swap-force,0 
Quickdraw Rattle Shake - Swap Force,1.99,44.99,34771,https://www.pricecharting.com/game/skylanders/quickdraw-rattle-shake-swap-force,0 
